growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.7284846,2473.3845,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.7402279,2175.1719,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2036.4583,0.000121792764,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2496.682,0.0065875873,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.5535348,3078.293,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2180.5708,0.014559449,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.34703985,1704.6912,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2253.1428,0.0025249124,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2694.3284,0.011986832,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.4053246,1908.5211,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.4594863,2757.8164,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2456.0784,0.009769498,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2226.424,0.00041104568,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2445.4934,0.014416949,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2409.1423,0.007122272,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1948.661,0.0042166016,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2692.366,0.014320623,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.72349477,2072.3813,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.7783614,2337.5261,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.53461623,2808.7998,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.74270844,2215.6829,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.61413264,2113.05,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.12898654,2348.9465,0.033976384,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.70011324,1728.2706,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2237.5337,0.0124138845,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.27509975,2212.2744,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2319.6135,0.007817838,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.5278385,3566.4023,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.38195547,2789.0486,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.36584783,1848.9381,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.83848625,2437.0833,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.4085342,1929.7732,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.31949618,2185.5605,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.64643794,2305.2327,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2175.6143,0.003165293,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2294.3936,0.008031655,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.5258962,2456.065,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2832.8723,0.006384056,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.6003961,2163.9038,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.57633203,3154.5369,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.25351527,2483.0413,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.5838993,3445.4573,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1996.6959,0.0114896735,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.20944701,2506.176,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.47938988,2454.4636,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.3236689,2024.2312,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2506.8064,0.0010194936,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.582991,2596.0645,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.7968195,1728.6893,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.36603415,2066.4734,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,2363.821,0.039765052,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1451.2678,0.008035011,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,618.2318,0.040671602,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1649.9862,0.03713055,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1374.4889,0.0033853513,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1789.1052,0.037222482,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1121.2124,0.0032806408,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,457.20374,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1705.8499,0.0045409114,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1593.2621,0.050712664,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,810.5632,0.030267537,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.23310733,1324.7871,0.014554109,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.6409559,1990.719,0.019626684,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,3414.6887,0.0067036003,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1253.5009,0.03687885,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1206.7433,0.048412032,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.2963963,545.8198,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
4.239118e-18,596.3944,0.011611039,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1312.7748,0.0040147854,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,810.6759,0.016042404,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1407.1637,0.005114536,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,437.1322,0.011553973,100,50,15,0.85,2210.8624803400003,0.021073837077251294
1.0714932e-16,720.6012,0.01746055,100,50,15,0.85,2210.8624803400003,0.021073837077251294
7.887983e-31,639.8252,0.0065574474,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1880.7814,0.013840794,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1062.5728,0.002325185,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1246.4738,0.046946228,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.16541146,442.79132,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,800.6686,0.003995121,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1301.0327,0.009820543,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.6661795,1276.1918,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1081.7142,0.04326792,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.8071696,1097.9722,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,685.02026,0.016311018,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1739.1743,0.016731849,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.6898375,999.57434,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1230.1682,0.0049965438,100,50,15,0.85,2210.8624803400003,0.021073837077251294
9.805261e-17,816.3818,0.018091489,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2125.7888,0.017866163,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,460.94812,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1898.463,0.05287603,100,50,15,0.85,2210.8624803400003,0.021073837077251294
2.230088e-16,766.77435,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,589.2454,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,843.2193,0.038548093,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.37096035,1061.8534,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1601.2217,0.0142993275,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,522.8714,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,988.35266,0.010065188,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1487.0157,0.014373728,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1391.4438,0.012547471,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1996.7075,0.017537644,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1968.8984,0.013598769,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,699.9435,0.022457423,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,799.0029,0.009873311,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,830.63995,0.014714557,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1247.6238,0.04059698,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,922.43335,0.01142537,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1915.482,0.010095302,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1170.6853,0.0104256775,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1113.7764,0.011759022,100,50,15,0.85,2210.8624803400003,0.021073837077251294
1.6928731e-13,616.6784,0.04663295,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1176.138,0.053346965,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1704.6608,0.013748629,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.23308916,1378.7152,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,2673.9585,0.059626456,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2816.621,0.023695553,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,644.7605,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1409.3586,0.01753069,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1232.9829,0.017168196,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1144.1029,0.05258407,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1304.7375,0.0170074,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2606.0056,0.0043902514,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.7494899,2749.8142,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1032.9967,0.045947354,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2870.5103,0.021834375,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,738.92645,0.04129097,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1186.125,0.046913154,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,527.5125,0.0283444,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1560.965,0.0177909,100,50,15,0.85,2210.8624803400003,0.021073837077251294
1.0870945e-16,2223.2505,0.05503333,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,821.7984,0.038258243,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1695.3417,0.010743015,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1841.872,0.01605362,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,892.5294,0.03761842,100,50,15,0.85,2210.8624803400003,0.021073837077251294
1.06916185e-13,1326.581,0.047708165,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,2496.7773,0.009003132,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,999.9325,0.025352996,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.45633465,1570.5782,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,947.1527,0.022407474,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1460.3584,0.0108353,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1039.8997,0.04678196,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1604.3096,0.051232163,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,648.2315,0.044349786,100,50,15,0.85,2210.8624803400003,0.021073837077251294
1.2504428e-13,1963.3274,0.04357276,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,997.14417,0.049208544,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,509.2768,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,2449.218,0.058679085,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,682.47156,0.005528004,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1899.6193,0.055497564,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1004.34076,0.020259427,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.054786623,1022.87585,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1945.7864,0.055068247,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,857.1905,0.039214462,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1352.6025,0.05175785,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,560.09937,0.040051732,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.6376781,853.8711,0.014264709,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1285.5201,0.015107922,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,1307.5276,0.05146789,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1307.7762,0.016754778,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,711.26324,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,770.71356,0.049660113,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,555.2935,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,617.08734,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1759.4984,0.019552894,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.85,1655.1782,0.01018746,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,787.1991,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
0.0,628.0983,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251294
