growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.17503867,2268.4001,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.19781771,1914.9448,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.3415061,2354.9429,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.16134638,2089.004,0.018358868,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.6779886,1735.8878,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.19384678,2687.783,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.6764139,3314.333,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.80019593,2325.6099,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.734936,2033.6572,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2257.1372,0.005464782,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.5614968,2596.5725,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2384.4631,0.0010992297,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.5105005,2273.2256,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.5965347,3008.7861,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.7866362,3046.3386,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2990.746,0.016416946,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2445.1914,0.00990091,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.17580393,2198.381,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.6660932,1141.4583,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,1715.5876,0.0069435667,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2534.9917,0.0025056193,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.57074696,2725.7761,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,3521.533,0.021440892,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.14422816,2142.5642,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,3171.331,0.018905103,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.13160676,1884.6729,0.017479187,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2768.8645,0.01717011,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.042245563,1878.306,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.49005097,2578.2666,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2109.444,0.005070222,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.4794387,2312.656,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,1696.3029,0.0061328844,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.7505579,2416.4924,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.41382617,2254.4934,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.80597866,1699.4092,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.644432,2487.7722,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.73697346,2058.226,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.0340255,3080.9587,0.0,50,50,20,0.85,2210.8624803400003,0.02107383707725203
0.85,2090.655,0.0062221815,50,50,20,0.85,2210.8624803400003,0.02107383707725203
