growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.85,3301.5999,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.52122635,1360.5886,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.7434668,1832.3721,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.8120338,2374.6455,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.22426456,2727.5786,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.61918837,2361.5256,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2512.858,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.5659662,2485.0598,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.4519045,1735.5416,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2908.247,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.15987892,3174.3743,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.5409592,2282.906,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2212.985,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.3581013,2831.2607,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.45985857,2036.327,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,3494.007,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.46913308,2198.324,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.7337147,2308.9368,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.4269577,2133.4958,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,1761.4095,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,3273.2068,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.62049735,2740.3218,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.73987895,2208.743,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2663.4177,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.39920864,2308.8325,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.53696996,1285.2377,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.29964507,1948.1208,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2186.598,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.3922047,2734.1455,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.7413019,2184.9067,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.27254313,2124.5088,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.76095873,1798.664,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2148.172,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,1902.3202,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.7953575,1406.4167,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.72602606,2444.5706,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.11024072,2496.4453,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.47493583,2004.7529,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2527.728,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.7528632,1886.413,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.75718653,1624.2776,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.50234735,1776.763,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.5912406,1974.0345,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2565.8784,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.6154118,2299.3755,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.6226908,2134.1223,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.6505948,3042.3274,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.32288623,2752.0312,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.20792103,2505.7163,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.7045991,2484.2478,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
5.451031e-14,1200.8422,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,176.72002,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
2.2131609e-14,429.92783,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
1.0025232e-14,699.64014,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,846.8577,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
1.1253165e-14,276.1809,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
1.4683304e-14,516.5479,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,234.3287,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.6568998,1833.9039,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,848.092,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,183.67427,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,286.53146,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,163.71738,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,369.8891,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,459.13245,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,130.21555,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,49.29198,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.67749935,1415.8058,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,1367.5778,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,255.91443,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,850.2025,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,220.5622,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,1399.9542,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,2525.9185,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,451.21964,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,553.95435,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,2163.333,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,172.07692,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,270.62973,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,827.46326,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,68.54232,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,932.69824,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,666.77325,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,300.1051,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,390.51,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
1.8303394e-31,1018.5884,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,1505.959,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,348.39603,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,1817.0255,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,248.99532,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,1234.0864,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
1.3492432e-31,1041.7053,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,650.2917,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,867.26514,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.0,425.41473,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
0.85,1302.8981,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
2.230088e-16,369.94635,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
2.230088e-16,603.85504,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
2.230088e-16,679.39825,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
2.230088e-16,477.5842,0.0,10,50,5,0.85,2210.8624803400003,0.02107383707725203
