growth_rate,cost,production,n_batch,n_start,n_candidates,init_growth_rate,init_cost,init_production
0.28385228,2363.476,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.42131552,2144.184,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.4329896,3476.9512,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.27959204,2349.179,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.31864497,2740.5415,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.5838374,3189.636,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.044666976,1714.1299,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.4449231,980.9808,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.31526765,2318.252,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2286.481,0.022129562,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.21492192,2660.5925,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.046763703,3120.9001,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2919.1199,0.003281991,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2493.5422,0.02009758,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3021.7383,0.010541817,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3398.582,0.00966743,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3155.7534,0.011721608,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.2757322,2801.2798,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.53233945,2379.2031,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2937.0847,0.013229443,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2673.06,5.602778e-05,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.20749633,2598.4382,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.46274886,2844.07,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.82469684,2700.9685,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.6687853,2622.2786,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1615.2913,0.019029653,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.62173367,2360.901,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2947.1536,0.020311452,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1680.1637,0.0011800055,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2657.036,0.0016615317,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3185.3247,0.0013371272,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.536596,1716.2094,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2289.673,0.00070957403,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1529.2651,0.009548414,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.16756801,2019.8223,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.4357025,1754.348,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.5661285,2353.1309,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2187.9277,0.0041449424,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.4281211,2247.0452,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.4063149,1451.7567,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.2603754,1755.0818,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1780.6185,0.010762273,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.72859,2387.1104,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,2491.9912,0.004020622,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.5913899,2747.3674,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.6790761,2730.6267,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.044457257,1679.9877,0.012725418,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.65452486,1896.3069,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1885.2642,0.0059571285,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.26654187,2373.5234,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,995.72797,0.052202392,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,1077.7821,0.051966544,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,1418.4493,0.05376091,100,50,15,0.85,2210.8624803400003,0.021073837077251818
2.23182e-13,1542.5546,0.056412864,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1607.8188,0.0030624825,100,50,15,0.85,2210.8624803400003,0.021073837077251818
1.1963867e-13,1247.4902,0.053801402,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,942.9587,0.04684888,100,50,15,0.85,2210.8624803400003,0.021073837077251818
5.0442313e-14,1103.517,0.0502303,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,1298.5646,0.050192423,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1566.468,0.008641465,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,1883.287,0.011247275,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3058.5947,0.024728475,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3163.7937,0.018529126,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.85,3041.2637,0.024035124,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,898.2447,0.041689422,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,458.0289,0.018456787,100,50,15,0.85,2210.8624803400003,0.021073837077251818
1.1327761e-16,927.98346,0.029879227,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,929.60333,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,1968.9202,0.0,100,50,15,0.85,2210.8624803400003,0.021073837077251818
0.0,889.7524,0.023102341,100,50,15,0.85,2210.8624803400003,0.021073837077251818
